k-ua-z^	0-0-0	กัวะ

k-u-j^	9-1-0	กุย

j-u-j^	9-1-7	ยุย

khl-u-j^	9-1-24	ขลุย

khr-u-j^	9-1-11	ครุย,ครุยส์

kh-u-j^	9-1-10	ขุย,คุย

c-u-j^	9-1-1	จุย

ch-u-j^	9-1-2	ฉุย,ชุย

h-u-j^	9-1-28	ฮุย,หุย

d-u-j^	9-1-13	ดุย

th-u-j^	9-1-16	ถุย,ทุย

b-u-j^	9-1-30	บุย

p-u-j^	9-1-12	ปุย,ปุยส์

r-u-j^	9-1-9	รุยส์,รุยซ์

s-u-j^	9-1-19	ซุย,สุย

n-u-j^	9-1-15	นุยษ์,นุยต์,ณุย,หนุย

m-u-j^	9-1-21	มุย,หมุย

l-u-j^	9-1-4	ลุย,หลุยส์

w-u-j^	9-1-20	วุย

z-u-j^	9-1-27	อุย

ph-u-j^	9-1-6	ผุย,พุย

phl-u-j^	9-1-5	พลุย

kr-u-ng^	9-4-8	กรุง

r-u-ng^	9-4-9	รุง

t-u-ng^	9-4-3	ตุง

k-u-ng^	9-4-0	กุง

b-u-ng^	9-4-30	บุง

khl-u-ng^	9-4-24	ขลุง,คลุง

kh-u-ng^	9-4-10	คุง

ph-u-ng^	9-4-6	พุง

c-u-ng^	9-4-1	จุง,จรุง

m-u-ng^	9-4-21	มุง

ch-u-ng^	9-4-2	ชุง

d-u-ng^	9-4-13	ดุง

tr-u-ng^	9-4-14	ตรุง

th-u-ng^	9-4-16	ทุง,ถุง

p-u-ng^	9-4-12	ปุง

pr-u-ng^	9-4-17	ปรุง

j-u-ng^	9-4-7	ยุง,ยุงศ์

phr-u-ng^	9-4-29	พรุง

phl-u-ng^	9-4-5	ผลุง,พลุง

f-u-ng^	9-4-18	ฟุง

s-u-ng^	9-4-19	ซุง,สุง

l-u-ng^	9-4-4	ลุง,หลุง

n-u-ng^	9-4-15	นุง,หนุง

h-u-ng^	9-4-28	หุง,ฮุง

z-u-ng^	9-4-27	อุง

w-u-ng^	9-4-20	วุง

kr-u-n^	9-3-8	กรุณ,กรุนด์

k-u-n^	9-3-0	กุล,กุณฑ์,กุลย์,กุน,กุนด์,กุญ

khr-u-n^	9-3-11	ครุน

kh-u-n^	9-3-10	ขุน,คุน,คุล,คุณ

ng-u-n^	9-3-25	งุน

c-u-n^	9-3-1	จุล,จุน,จุฬ,จุณ,จุณณ์,จุลย์

ch-u-n^	9-3-2	ฉุน,ชุล,ชุน,ชุนห์,ชุนด์,ชุณ,ชุณห์

d-u-n^	9-3-13	ดุน,ดุล,ดุลย์

dr-u-n^	9-3-34	ดรุณ

t-u-n^	9-3-3	ตุน,ตุลย์

th-u-n^	9-3-16	ทุน,ทุล,ธุล,ถุน

br-u-n^	9-3-26	บรุนท์,บรุนต์

b-u-n^	9-3-30	บุญ,บุลย์,บุรณ,บุญย์,บุณ,บุณย์,บุณณ์,บุน,บุนด์

p-u-n^	9-3-12	ปุญ,ปุรณ,ปุน,ปุณ

f-u-n^	9-3-18	ฝุน,ฟุน

s-u-n^	9-3-19	ซุลทซ์,ซุน,สุล,ษุณ,สุณ,สุน,ศุล,ศุน,ศุนย์,สุลงค์,สุญ,ศุลฯ

m-u-n^	9-3-21	มุน,หมุน,มุนด์

n-u-n^	9-3-15	นุน,หนุน,นุญ,นุล

r-u-n^	9-3-9	รุนด์,รุณ,หรุน,รุนท์,รุนต์,รุณย์,รุฬ,รุฬห์,รุญ,รุล

j-u-n^	9-3-7	ยุนต์,หยุน

h-u-n^	9-3-28	ฮุน,หุน,ฮุล,หุล

z-u-n^	9-3-27	อุน,อุฬ,อุณ,อุล,อุลม์

l-u-n^	9-3-4	ลุน,หลุน,ลุนด์,ลุล

w-u-n^	9-3-20	วุน,วุล

ph-u-n^	9-3-6	พุนท์,พุนก์,ภุญ

fl-u-n^	9-3-32	ฟลุน

phr-u-n^	9-3-29	พรุน

phl-u-n^	9-3-5	ผลุน

kr-u-t^	9-8-8	กรุด

k-u-t^	9-8-0	กุธ,กุท,กุศ,กุด,กุฏ,กุฎ,กุส,กุช,กุจ,กุต,กุตร

khr-u-t^	9-8-11	ครุฑ,ครุศ,ครุสย์,ครุท,ครุทซ์

kh-u-t^	9-8-10	ขุด,คุทสค์,คุด,คุดส์,คุต,คุตต์,คุตส์

c-u-t^	9-8-1	จุด,จุสท์,จุฑ,จุต,จุติ

ch-u-t^	9-8-2	ชุด,ชุติ,ฉุด

f-u-t^	9-8-18	ฟุต

d-u-t^	9-8-13	ดุส,ดุด,ดุจ,ดุษ

dr-u-t^	9-8-34	ดรุด

tr-u-t^	9-8-14	ตรุษ

t-u-t^	9-8-3	ตุส,ตุต,ตุจ,ตุด,ตุศ

th-u-t^	9-8-16	ทุศ,ทุส,ทุติ,ทุษ,ทุด,ทุจ,ถุช,ถุด,ธุส,ธุด,ธุดงค์,ธุช

n-u-t^	9-8-15	นุศ,นุช,นุส,นุธ,นุต,นุตม์,ณุท,ณุส,ณุสส์,ณุต,นุสรณ์,นุสนธ์,นุชญ,นุชญ์,นุษ,นุษย์,นุท,นุตร,นุตร์,นุติ,นุถ,นุด,นุจ

br-u-t^	9-8-26	บรุด

b-u-t^	9-8-30	บุตร,บุสย์,บุศ,บุศน์,บุศย์,บุษ,บุษย์,บุตร์,บุช

p-u-t^	9-8-12	ปุด,ปุจ,ปุถ

phl-u-t^	9-8-5	ผลุด

ph-u-t^	9-8-6	ผุด,ภุต,ผุส,พุด,พุธ,พุท,พุทธ,พุทร,พุช,พุฒ,ภุช,ภุชงค์,พุทธฯ

r-u-t^	9-8-9	รุสย์,รุทซ์,รุฑ,รุศ,รุด,รุช,รุจ,รุษ,รุต,รุตม์,รุจน์,รุจจ์,รุณ์จ,รุตส์,รุตต์,รุตติ์,รุตธ์,รุติ,รุตน์,รุตย์,รุธ,รุธท์,รุทธ,รุทธ์,รุทร,รุทร์,รุสก์,รุฒ,รุฒน์,รุฒม์,รุตร์,รุทธิ์

s-u-t^	9-8-19	ซุซ,ซุท,ซุสส์,ซุด,ศุธ,ศุส,สุด,สุฒ,สุท,สุทธ,สุศ,ทรุด,ทรุต,ทรุตม์,สุธ,สุช,สุต,สุรท,ศรุต,ศรุติ,ศรุตม์,ศุท,ศุทธ,ศุทธิ์,ศุทธ์,สุทธิ์,สุทธ์,สุทนต์,สุทร,สุจ,สุส,สุฐ,สุทฺ

m-u-t^	9-8-21	มุท,หมุด,มุส,มุทร,มุทร์,มุทธ,มุต,มุติ,มุตต์,มุฏ

ng-u-t^	9-8-25	งุด,หงุด

j-u-t^	9-8-7	ญุตม์,ยุตม์,ยุทธ์,อยุด,ยุติ,ยุธ,ยุธม์,ยุฒ,ยุฒม์,ยุฑ,ยุศ,ยุศม์,ยุส,หยุด,อยุธ,ยุตย์,ญุตร์

h-u-t^	9-8-28	ฮุส,หุต,หุด,ฮุด,ฮุซ

z-u-t^	9-8-27	อุท,อุต,อุช,อุทร,อุจ,อุทธ,อุด,อุตร,อุตุ,อุตม์,อุทธรณ์,อุส,อุสต์,อุษ

w-u-t^	9-8-20	วุฑ,วุติ,วุฒ,หวุด,วุธ,วุฒน์,วุท,วุทธ,วุทธิ์,วุส,วุตม์,วุช,วุจ

l-u-t^	9-8-4	ลุด,หลุด,ลุต,ลุท,ลุทซ์

fr-u-t^	9-8-36	ฟรุต,ฟรุตส์

kr-u-k^	9-6-8	กรุก

kl-u-k^	9-6-31	กลุค

k-u-k^	9-6-0	กุก

khr-u-k^	9-6-11	ขรุข,ครุก

khl-u-k^	9-6-24	ขลุก,คลุก

kh-u-k^	9-6-10	ขุก,คุก

c-u-k^	9-6-1	จุก

ch-u-k^	9-6-2	ชุก,ฉุก,ฌุกร,ชุค

d-u-k^	9-6-13	ดุกส์,ดุคย์

t-u-k^	9-6-3	ตุก,ตุฆ

th-u-k^	9-6-16	ทุกข์,ธุกร,ถุค,ทุกร,ทุค

n-u-k^	9-6-15	ณุก,นุคส์,นุก,นุกร,นุกซ์

br-u-k^	9-6-26	บรุค,บรุก

b-u-k^	9-6-30	บุค,บุกร,บุกส์,บุคส์

p-u-k^	9-6-12	ปุก

pl-u-k^	9-6-33	ปลุก,ปลุกร

m-u-k^	9-6-21	มุก,มุคห์,มุข,มุกด์,มุกข์,มุกต์,มุกค์

r-u-k^	9-6-9	รุข,รุก,รุกร,รุค,รุกข์

s-u-k^	9-6-19	ซุค,ซุก,สุข,สุก,สุคนธ์,ศุข,ศุก,ศุกร,ศุกร์,สุรค,สุขก์,สุกร

l-u-k^	9-6-4	ลุก,ลุค,หลุก,ลุกร,ลุกส์,ลุกซ์,ลุคส์,ลุคด์

j-u-k^	9-6-7	ยุค,ยุกต์,หยุก,ยุข

z-u-k^	9-6-27	อุก,อุคร

h-u-k^	9-6-28	หุก,ฮุค,ฮุก

ph-u-k^	9-6-6	พุกซ์,พุกก์,ภุกรณ์

f-u-k^	9-6-18	ฟุก,ฟุกส์

fl-u-k^	9-6-32	ฟลุค,ฟลุก

phl-u-k^	9-6-5	พลุก

kr-u-p^	9-2-8	กรุปร,กรุปส์,กรุบ

k-u-p^	9-2-0	กุบ

khr-u-p^	9-2-11	ครุภ,ครุบ

kh-u-p^	9-2-10	คุปค์,คุปต์,ฆุป

ng-u-p^	9-2-25	งุบ

c-u-p^	9-2-1	จุบ

ch-u-p^	9-2-2	ชุบ,ชุป,ชุพ

t-u-p^	9-2-3	ตุพ,ตุป,ตุภ,ตุบ

th-u-p^	9-2-16	ทุพ,ทุบ,ธุภ,ธุป

b-u-p^	9-2-30	บุบ,บุป,บุพ

r-u-p^	9-2-9	รุบ,รุปร,รุปส์,รุพ,รุภ

s-u-p^	9-2-19	ซุพ,ซุฟ,ซุบ,ซุป,ศุภ,สุบ,สรุป,ทรุป,ทรุปร,สุพ,สุภ,ศุภรณ์,สุภค์,สุภรณ์,สุพรณ์,สุพจน์,สุพงษ์,สุพนธ์,สุป,สุปร,ซุบหฺ

n-u-p^	9-2-15	นุพ,ณุป,ณุพงษ์,นุบ,หนุบ,นุป,นุปต์,นุภ,นุพงศ์,นุพงษ์,นุปร

j-u-p^	9-2-7	ยุบ,หยุบ,ยุภ,ยุป,ยุปร,ยุพ

z-u-p^	9-2-27	อุบ,อุปร,อุภ

h-u-p^	9-2-28	หุบ,ฮุบ

m-u-p^	9-2-21	มุบ,หมุบ

l-u-p^	9-2-4	ลุบ,หลุบ,ลุป,ลุปร,ลุฟ,ลุฟท์

f-u-p^	9-2-18	ฟุบ

phl-u-p^	9-2-5	ผลุบ

p-u-p^	9-2-12	ปุบ,ปุป

kr-u-z^	9-0-8	กรุปส์,กรุนด์,กรุณ์

kl-u-z^	9-0-31	กลุ

k-u-z^	9-0-0	กุ,กุณฑ์,กุลย์,กุนด์,กุมภ์

khr-u-z^	9-0-11	ขรุ,ครุสย์,ครุยส์,ครุทซ์

khl-u-z^	9-0-24	ขลุ,คลุ

kh-u-z^	9-0-10	ขุ,คุ,ฆุ,คุมพ์,คุดส์,คุปต์,คุปค์,คุตต์,คุตส์

h-u-z^	9-0-28	ฮุ,หุ

c-u-z^	9-0-1	จุ,จรุ,จุณณ์,จุสท์

ch-u-z^	9-0-2	ชุ,ฌุ,ฉุ,ชุนห์,ชุนด์,ชุณห์

d-u-z^	9-0-13	ดุ,ดุคย์,ฎุ,ดุลย์,ดุกส์

dr-u-z^	9-0-34	ดรุ

tr-u-z^	9-0-14	ตรุ

t-u-z^	9-0-3	ตุ,ตุลย์

th-u-z^	9-0-16	ทุ,ทุกข์,ธุ,ถุ,ฑุ

br-u-z^	9-0-26	บรุนท์,บรุนต์

b-u-z^	9-0-30	บุ,บุสย์,บุคส์,บุตร์,บุญย์,บุกส์,บุณย์,บุณณ์,บุนด์,บุลย์,บุศย์,บุศน์,บุษย์

pr-u-z^	9-0-17	ปรุ

p-u-z^	9-0-12	ปุ,ปุยส์

pl-u-z^	9-0-33	ปลุ

phr-u-z^	9-0-29	พรุ

phl-u-z^	9-0-5	ผลุ,พลุ

f-u-z^	9-0-18	ฝุ,ฟุ,ฟุกส์

ph-u-z^	9-0-6	ผุ,พุ,ภุ,พุกก์,พุกซ์,พุนก์,พุนท์

s-u-z^	9-0-19	ซุ,ศุ,สุ,ษุ,สรุ,ซุสส์,ซรุ,ทรุ,ทรุตม์,สุธ์,ศรุ,ศรุตม์,ศุกร์,ศุทธ์,ศุนย์,สุทธ์,สุภค์,สุขก์,สุมภ์,สฺ

n-u-z^	9-0-15	ณุสส์,นุ,หนุ,นุกซ์,นุชญ์,นุษย์,นุตร์,นุตม์,นุปต์,นุยต์,นุยษ์,นุคส์,ณุย์

w-u-z^	9-0-20	วุ,หวุ,วุฒน์,วุตม์

ng-u-z^	9-0-25	งุ,หงุ

j-u-z^	9-0-7	ญุตม์,ยุ,อยุ,ยุห์,ยุทธ์,ยุตม์,ยุธม์,ยุงศ์,ยุนต์,ยุกต์,ยุศม์,ยุฒม์,หยุ

z-u-z^	9-0-27	อุ,อุลม์,อุตม์,อุมม์,อุร์,อุสต์,อฺ,อุฯ

r-u-z^	9-0-9	รุณ์,หรุ,รุกข์,รุนท์,รุนต์,รุนด์,รุปส์,รุจน์,รุจจ์,รุณย์,รุยส์,รุยซ์,รุตส์,รุตต์,รุตม์,รุตธ์,รุตน์,รุตย์,รุธท์,รุทธ์,รุทร์,รุทซ์,รุฬห์,รุสย์,รุสก์,รุฒน์,รุฒม์

m-u-z^	9-0-21	มุ,หมุ,มุนด์,มุทร์,มุกด์,มุกข์,มุกต์,มุกค์,มุตต์,มุห์,มุคห์

l-u-z^	9-0-4	ลุ,หลุยส์,ลุกส์,ลุกซ์,ลุนด์,ลุคส์,ลุคด์,ลุฟท์,ลุทซ์,ฬุ

fr-u-z^	9-0-36	ฟรุ,ฟรุตส์

fl-u-z^	9-0-32	ฟลุ

kr-uua-j^	10-1-8	กรวย

r-uua-j^	10-1-9	รวย

k-uua-j^	10-1-0	กวย

kl-uua-j^	10-1-31	กลวย

ch-uua-j^	10-1-2	ชวย,ฉวย

kh-uua-j^	10-1-10	ขวย

ng-uua-j^	10-1-25	งวย

b-uua-j^	10-1-30	บวย

d-uua-j^	10-1-13	ดวย

ph-uua-j^	10-1-6	พวย

h-uua-j^	10-1-28	ฮวย,หวย

s-uua-j^	10-1-19	ซวย,สวย

z-uua-j^	10-1-27	อวย

t-uua-j^	10-1-3	ตวย

th-uua-j^	10-1-16	ถวย,ทวย

p-uua-j^	10-1-12	ปวย

l-uua-j^	10-1-4	ลวย,หลวย

m-uua-j^	10-1-21	มวย,หมวย

n-uua-j^	10-1-15	นวย,หนวย

j-uua-j^	10-1-7	ยวย,หยวย

k-uua-z^	10-0-0	กัว,กัวร์,กัวล์

kl-uua-z^	10-0-31	กลัว

h-uua-z^	10-0-28	หัว,ฮัว

khr-uua-z^	10-0-11	ขรัว,ครัวซ์

r-uua-z^	10-0-9	รัว,รัวซ์

kh-uua-z^	10-0-10	ขัว,คัว

ng-uua-z^	10-0-25	งัว

c-uua-z^	10-0-1	จัว

z-uua-z^	10-0-27	อัว,อัวร์

ch-uua-z^	10-0-2	ฉัว,ชัวร์,ฌัว

d-uua-z^	10-0-13	ดัวร์,ดัวค์

t-uua-z^	10-0-3	ตัว,ตัวร์

th-uua-z^	10-0-16	ทัวร์,ธัว,ถัว,ทัวส์

n-uua-z^	10-0-15	นัวร์,นัวซ์

b-uua-z^	10-0-30	บัว,บัวร์,บัวส์

ph-uua-z^	10-0-6	พัวร์,ผัว

m-uua-z^	10-0-21	มัว,มัวส์,มัวร์

s-uua-z^	10-0-19	ซัวร์,ซัวส์,สัว,สัวรณ์

w-uua-z^	10-0-20	วัว,หวัว,วัวร์

l-uua-z^	10-0-4	ลัว,หลัว,ลัวร์,ลัวต์,ลัวท์

j-uua-z^	10-0-7	ยัวร์,ยัวส์

f-uua-z^	10-0-18	ฟัว,ฟัวส์

phl-uua-z^	10-0-5	ผลัว,พลัว

p-uua-z^	10-0-12	ปัว

k-uua-ng^	10-4-0	กวง,กวงค์

kl-uua-ng^	10-4-31	กลวง

kh-uua-ng^	10-4-10	ขวง,ควง

khr-uua-ng^	10-4-11	ครวง,ครวงษ์

ng-uua-ng^	10-4-25	งวง

p-uua-ng^	10-4-12	ปวง

c-uua-ng^	10-4-1	จวง

ch-uua-ng^	10-4-2	ชวง,ชวงศ์

d-uua-ng^	10-4-13	ดวง,ดวงส์

tr-uua-ng^	10-4-14	ตรวง

t-uua-ng^	10-4-3	ตวง,ตวงศ์

r-uua-ng^	10-4-9	รวงษ์,รวงศ์

th-uua-ng^	10-4-16	ทวง,ทวงศ์,ฐวง,ฐวงศ์,ถวง,ธวง,ธวงศ์

ph-uua-ng^	10-4-6	พวง,พวงศ์

b-uua-ng^	10-4-30	บวง,บวงศ์

phl-uua-ng^	10-4-5	พลวง

j-uua-ng^	10-4-7	ยวง,ยวงค์

l-uua-ng^	10-4-4	ลวง,หลวง

n-uua-ng^	10-4-15	นวงษ์,นวงศ์,หนวง

h-uua-ng^	10-4-28	หวง,ฮวง

s-uua-ng^	10-4-19	ทรวงศ์,สรวง,ศวง,ศวงศ์,สวง,สวงค์

w-uua-ng^	10-4-20	ววง,ววงศ์

m-uua-ng^	10-4-21	มวง,มวงศ์

kr-uua-n^	10-3-8	กรวร

k-uua-n^	10-3-0	กวน,กวณ,กวล,กวร

khr-uua-n^	10-3-11	ครวญ

kh-uua-n^	10-3-10	ขวน,ควน,ควร

ng-uua-n^	10-3-25	งวน,งวล,งวรณ์

c-uua-n^	10-3-1	จวร,จวน

ch-uua-n^	10-3-2	ชวน,ชวร,ฉวน,ชวล

d-uua-n^	10-3-13	ดวน,ดวล,ฎวร

tr-uua-n^	10-3-14	ตรวน

t-uua-n^	10-3-3	ตวร,ตวน

th-uua-n^	10-3-16	ทวน,ทวณ,ทวร,ฐวร,ฐวน,ฑวน,ถวน,ถวล

n-uua-n^	10-3-15	นวน,นวล,นวรรณ์,ณวณ,นวณ

b-uua-n^	10-3-30	บวน,บวล,บวร

pr-uua-n^	10-3-17	ปรวน

p-uua-n^	10-3-12	ปวน,ปวณ,ปวร

m-uua-n^	10-3-21	มวน,มวล,มวญ

r-uua-n^	10-3-9	รวญ,รวร,รวล,รวน,รวนนท์

j-uua-n^	10-3-7	ยวน,ญวล,ญวณ,ญวร,ญวน,หยวน,ยวณ,ยวร

z-uua-n^	10-3-27	อวร,อวน,อวล

h-uua-n^	10-3-28	หวน,ฮวน,หวล,หวณ

l-uua-n^	10-3-4	ลวร,ลวน,ลวณ,หลวน

s-uua-n^	10-3-19	ศวร,ซวน,สวน,สรวล,สวร,สวล,ศรวร,ศวรรย์,ศวล,ษวร,สวรรค์,สวรรย์,สวณ

ph-uua-n^	10-3-6	พวร,ผวน,ภวน,พวน,ภวร

phr-uua-n^	10-3-29	พรวน

kr-uua-m^	10-7-8	กรวม

k-uua-m^	10-7-0	กวม

kh-uua-m^	10-7-10	ควม

dr-uua-m^	10-7-34	ดรวม

b-uua-m^	10-7-30	บวม

t-uua-m^	10-7-3	ตวม

th-uua-m^	10-7-16	ทวม

z-uua-m^	10-7-27	อวม

n-uua-m^	10-7-15	นวม

br-uua-m^	10-7-26	บรวม

p-uua-m^	10-7-12	ปวม

ph-uua-m^	10-7-6	พวม

s-uua-m^	10-7-19	สวม,ศวม

r-uua-m^	10-7-9	รวม,หรวม

h-uua-m^	10-7-28	ฮวม

l-uua-m^	10-7-4	ลวม,หลวม

j-uua-m^	10-7-7	ยวม

kr-uua-t^	10-8-8	กรวด

k-uua-t^	10-8-0	กวด,กวส,กวท,กวต,กวช

kh-uua-t^	10-8-10	ขวด,ควส,ควต,ควซ

ng-uua-t^	10-8-25	งวด,งวศ

c-uua-t^	10-8-1	จรวด,จวด,จวต

ch-uua-t^	10-8-2	ชวด,ฌวด

d-uua-t^	10-8-13	ดวด,ดวสซ์

tr-uua-t^	10-8-14	ตรวจ,ตรวด

th-uua-t^	10-8-16	ฐวด,ธวท,ทวด,ทวส,ทวท

b-uua-t^	10-8-30	บวด,บวช,บวส,บวท

p-uua-t^	10-8-12	ปวด,ปวจ,ปวช,ปวส,ปวท,ปวต

phr-uua-t^	10-8-29	พรวด

ph-uua-t^	10-8-6	ผวจ,พวช

j-uua-t^	10-8-7	ญวส,ยวด,ยวต,ยวศ,ยวช,ยวจ,ยวซ,ยวถ

r-uua-t^	10-8-9	รวด,รวส,รวจ

s-uua-t^	10-8-19	ซวสท์,ซวจ,ซวด,สวท,ทรวด,ศวต,ศวจ,ศวด,ศวท,ศวธ,สวด,สวส

m-uua-t^	10-8-21	มวด,หมวด

n-uua-t^	10-8-15	นวจ,นวธ,นวช,นวด,นวท,นวส,หนวด

h-uua-t^	10-8-28	ฮวด,ฮวท,หวต,หวด,หวช,หวท

z-uua-t^	10-8-27	อวด,อวจ,อวส,อวต

l-uua-t^	10-8-4	ลวด,ลวส,ลวจ,ลวฑ

w-uua-t^	10-8-20	ววจ

kh-uua-k^	10-6-10	ขวก,ขวค,ควก

khl-uua-k^	10-6-24	คลวค

ph-uua-k^	10-6-6	พวก

c-uua-k^	10-6-1	จวก

d-uua-k^	10-6-13	ดวก

th-uua-k^	10-6-16	ทวก

p-uua-k^	10-6-12	ปวก

b-uua-k^	10-6-30	บวก,บวร์ก

l-uua-k^	10-6-4	ลวค,ลวก

pl-uua-k^	10-6-33	ปลวก

s-uua-k^	10-6-19	ซวก,สวก,ศวก,ศวกรณ์

m-uua-k^	10-6-21	มวก,หมวก,มวข

n-uua-k^	10-6-15	นวค,นวก,หนวก

j-uua-k^	10-6-7	ยวข,ยวก,หยวก

h-uua-k^	10-6-28	หวค,หวก,ฮวก

z-uua-k^	10-6-27	อวก

r-uua-k^	10-6-9	รวก

k-uua-p^	10-2-0	กวพ

kh-uua-p^	10-2-10	ขวบ,ควบ

c-uua-p^	10-2-1	จวบ

ch-uua-p^	10-2-2	ชวพ,ชวพงศ์

d-uua-p^	10-2-13	ดวบ

t-uua-p^	10-2-3	ตวบ

th-uua-p^	10-2-16	ทวพ

n-uua-p^	10-2-15	ณวพ,นวป,นวพ

r-uua-p^	10-2-9	รวบ

b-uua-p^	10-2-30	บวบ

ph-uua-p^	10-2-6	ภวภ

j-uua-p^	10-2-7	ยวบ,ยวพ,ยวฟ,ยวป

s-uua-p^	10-2-19	ศวพ,สวพ,ศวป,ศวภ,สวป,สวบ

h-uua-p^	10-2-28	หวพ,ฮวบ

z-uua-p^	10-2-27	อวบ

kr-ii-m^	11-7-8	กรีม

k-ii-m^	11-7-0	กีม

khr-ii-m^	11-7-11	ครีม

kh-ii-m^	11-7-10	ขีม,ขีห,ขีหม,คีม

c-ii-m^	11-7-1	จีม

s-ii-m^	11-7-19	ซีม,สีม,ษีม

d-ii-m^	11-7-13	ดีม,ดีมร์,ฎีม,ดีหม

dr-ii-m^	11-7-34	ดรีม

tr-ii-m^	11-7-14	ตรีม

t-ii-m^	11-7-3	ตีม

th-ii-m^	11-7-16	ทีม,ธีม,ทีหม

n-ii-m^	11-7-15	นีม,นีห์ม,นีมนต์,นีหม

b-ii-m^	11-7-30	บีม

pr-ii-m^	11-7-17	ปรีย์ม

r-ii-m^	11-7-9	รีม,รีย์ม

p-ii-m^	11-7-12	ปีม

phr-ii-m^	11-7-29	พรีม

f-ii-m^	11-7-18	ฝีม,ฟีม

ph-ii-m^	11-7-6	พีม,ภีม

m-ii-m^	11-7-21	มีม

l-ii-m^	11-7-4	ลีม,ลีมฟ์

z-ii-m^	11-7-27	อีม

h-ii-m^	11-7-28	ฮีม

kr-ii-k^	11-6-8	กรีก

k-ii-k^	11-6-0	กีก,กีกร

khr-ii-k^	11-6-11	ครีก,ครีกซ์

khl-ii-k^	11-6-24	คลีค

kh-ii-k^	11-6-10	ขีก,ขีค,ขีข,คีค,คีย์ก,คีร์ก

c-ii-k^	11-6-1	จีกร,จีค

ch-ii-k^	11-6-2	ฉีก,ชีคห์,ชีข,ชีก,ชีกห์

d-ii-k^	11-6-13	ดีก,ดีคอร์,ฎีก,ดีกร,ดีข

t-ii-k^	11-6-3	ตีกร,ตีคอร์,ตีข

th-ii-k^	11-6-16	ทีข,ฑีข,ฑีฆ,ธีข,ทีฆ,ทีก,ธีก,ธีกร

z-ii-k^	11-6-27	อีก

n-ii-k^	11-6-15	นีกร,นีฆ,ณีก,นีข,นีย์ก,นีกรรณ์,นีค

b-ii-k^	11-6-30	บีกร,บีคอร์

m-ii-k^	11-6-21	มีก,มีข,มีคส์,มีคร

r-ii-k^	11-6-9	รีกซ์,รีข,รีซ์ก,รีกร

w-ii-k^	11-6-20	วีค,วีก,วีกร,วีคส์

l-ii-k^	11-6-4	ลีกส์,ลีค,หลีก,ลีย์ข

s-ii-k^	11-6-19	ซีก,สีค,สีข,ศีข,ษีก,สีก

ph-ii-k^	11-6-6	พีค,ผีกร,ภีค

phl-ii-k^	11-6-5	พลีก

f-ii-k^	11-6-18	ฝีก

pl-ii-k^	11-6-33	ปลีก

p-ii-k^	11-6-12	ปีก

pr-ii-k^	11-6-17	ปรีซ์ก,ปรีกร

j-ii-k^	11-6-7	ยีก

kr-ii-n^	11-3-8	กรีน

kw-ii-n^	11-3-22	กวีน

kl-ii-n^	11-3-31	กลีล

k-ii-n^	11-3-0	กีฬ,กีล,กีน

ph-ii-n^	11-3-6	พีล,ผีล

khr-ii-n^	11-3-11	ครีน,ครีนส์

khw-ii-n^	11-3-23	ควีน,ควีนส์

khl-ii-n^	11-3-24	คลีน,คลีนด์

kh-ii-n^	11-3-10	ขีล,ขีณ,ขีน,คีน,คีล,คีลล์

ng-ii-n^	11-3-25	งีน

c-ii-n^	11-3-1	จีน,จีนส์

ch-ii-n^	11-3-2	ชีน,ชีลด์

d-ii-n^	11-3-13	ฎีน,ดีนส์,ดีล,ดีลอร์

t-ii-n^	11-3-3	ตีน,ตีลส์,ตีลอร์

th-ii-n^	11-3-16	ทีน,ธีน,ธีณ

n-ii-n^	11-3-15	ณีน,นีลล์,นีน,นีลส์

j-ii-n^	11-3-7	ยีน,ยีนส์

b-ii-n^	11-3-30	บีนส์,บีล,บีนอร์

p-ii-n^	11-3-12	ปีน

r-ii-n^	11-3-9	รีนส์,รีญ,รีส์น,รีล

l-ii-n^	11-3-4	ลีนด์,ลีล,ลีฬ,ลีนส์

w-ii-n^	11-3-20	วีณ,วีนส์,วีลล์

s-ii-n^	11-3-19	ซีลส์,ซีย์น,ศีล,ซีน,สรีน,ศรีล,ศรีน,สีล,สีน,สีนนท์

z-ii-n^	11-3-27	อีน,อีล

f-ii-n^	11-3-18	ฟีล,ฟีน,ฟีลล์

h-ii-n^	11-3-28	หีน,ฮีลต์,ฮีน

m-ii-n^	11-3-21	มีนซ์,มีลล์,มีนส์

phl-ii-n^	11-3-5	พลีน

kr-ii-t^	11-8-8	กรีด,กรีต,กรีส,กรีธ,กรีซ,กรีฑ

