k-ua-z^	0-0-0	กัวะ
ph-i-n^	1-3-6	พิน,ภิล,พิล,ภิน,ภินธ์,ผิน,ผิญ,พินทร์,พินท์,พินธ์,พิร์ล,พิณ,พิลส์,พิญ,ภิญ,ภิญญ์,ภินท์,ภินทร์,ภิณ,พิณธ์

fl-i-n^	1-3-32	ฟลิน,ฟลินท์

phl-i-n^	1-3-5	ผลิน,พลิน

phr-i-n^	1-3-29	พรินซ์,พรินทร์,พรินท์,พริลส์,พรินส์,พรินต์

pl-i-n^	1-3-33	ปลิน

pr-i-n^	1-3-17	ปริญญ์,ปรินส์,ปริณ,ปรินซ์,ปรินต์,ปรินญ์,ปรินท์

kr-i-ng^	1-4-8	กริง

k-i-ng^	1-4-0	กิง,กิงส์

kl-i-ng^	1-4-31	กลิง,กลิงค์

khl-i-ng^	1-4-24	คลิง,คลิงค์

kh-i-ng^	1-4-10	ขิง,คิงส์,คิ้งค์,คิงก์

c-i-ng^	1-4-1	จิง,จริง

ch-i-ng^	1-4-2	ชิง,ฉิง,ชิงก์,ชิ่งก์

d-i-ng^	1-4-13	ดิง,ดิงห์,ดิงส์,ดิงค์,ดิงก์

dr-i-ng^	1-4-34	ดริงก์,ดริงค์,ดริงส์

t-i-ng^	1-4-3	ติง,ติงส์,ติงก์,ติ้งก์

th-i-ng^	1-4-16	ทิง,ธิงค์,ถิง

br-i-ng^	1-4-26	บริง,บริงค์

bl-i-ng^	1-4-35	บลิง

b-i-ng^	1-4-30	บิง,บิงห์

p-i-ng^	1-4-12	ปิง,ปิงค์,ปิงกซ์,ปิ้งก์

ph-i-ng^	1-4-6	พิงค์,ภิงค์,ผิง,พิงศ์,พิ้งซ์,พิ๊งซ์

s-i-ng^	1-4-19	สิงห์,ซิง,สิงข์,ซิงห์,ซิงค์,ซิงก์,สิงค์

l-i-ng^	1-4-4	ลิงค์,หลิง,ลิงก์

n-i-ng^	1-4-15	นิงก์,นิงส์,นิงห์,หนิง,นิ้งซ์,นิงกซ์

r-i-ng^	1-4-9	ริงค์,ริงส์,ริงก์,หริง,ริงซ์,ริ้งกซ์

j-i-ng^	1-4-7	ญิง,ยิง,หยิง,ยิงค์,หญิง

z-i-ng^	1-4-27	อิง,อิงค์,อิงก์

h-i-ng^	1-4-28	หิงส์,หิงค์,ฮิง,หิงคุ์

w-i-ng^	1-4-20	วิงก์,หวิง,วิงส์,วิงห์

m-i-ng^	1-4-21	มิง,มิงค์

fr-i-ng^	1-4-36	ฟริงก์,ฟริงส์

fl-i-ng^	1-4-32	ฟลิง,ฟลิงก์

f-i-ng^	1-4-18	ฟิง,ฟิงซ์

phl-i-ng^	1-4-5	พลิง,พลิงค์

phr-i-ng^	1-4-29	พริง

pl-i-ng^	1-4-33	ปลิง,ปลิงค์

pr-i-ng^	1-4-17	ปริงส์,ปริงก์

kr-i-w^	1-5-8	กริว

k-i-w^	1-5-0	กิว

khr-i-w^	1-5-11	คริว

khw-i-w^	1-5-23	ควิว,ควิวส์

kh-i-w^	1-5-10	คิว,คิวส์,คิ้วท์,คิวท์

ng-i-w^	1-5-25	งิว

c-i-w^	1-5-1	จิว,จริย์ว

ch-i-w^	1-5-2	ฉิว,ชิว

d-i-w^	1-5-13	ดิว,ดิวงษ์,ฎิว,ดิวซ์,ดิวส์

dr-i-w^	1-5-34	ดริว

tr-i-w^	1-5-14	ตริว

th-i-w^	1-5-16	ทิว,ธิวงศ์,ฒิว,ธิวส์,ทิวส์,ทิวบ์

n-i-w^	1-5-15	นิวส์,นิวรณ์,ณิว,นิวซ์,นิวท์

br-i-w^	1-5-26	บริว

bl-i-w^	1-5-35	บลิวท์,บลิวด์

z-i-w^	1-5-27	อิว

b-i-w^	1-5-30	บิวท์,บิวส์,บิวด์

pr-i-w^	1-5-17	ปริว

p-i-w^	1-5-12	ปิว

t-i-w^	1-5-3	ติว,ฏิว,ติวย์,ติวท์,ติวต์,ติวงศ์,ติวด์

phr-i-w^	1-5-29	พริว

ph-i-w^	1-5-6	ผิว,ภิว,พิว

r-i-w^	1-5-9	ริย์ว,ริว,ริวงศ์

s-i-w^	1-5-19	ซิว,สิว,ศิว

l-i-w^	1-5-4	ลิวด์,ลิวท์,หลิว

w-i-w^	1-5-20	วิวส์,หวิว,วิวรณ์,วิวล์

h-i-w^	1-5-28	หิว,ฮิวจ์,ฮิวช์,ฮิวส์,ฮิวจส์,ฮิวห์,ฮิวก์

j-i-w^	1-5-7	ยิว,หยิว

m-i-w^	1-5-21	มิว

f-i-w^	1-5-18	ฟิวส์,ฟิวด์,ฟิวก์,ฟิวจ์

phl-i-w^	1-5-5	พลิว

pl-i-w^	1-5-33	ปลิว

kr-i-k^	1-6-8	กริก

k-i-k^	1-6-0	กิร์ก,กิกส์,กิข

kl-i-k^	1-6-31	กลิค

khr-i-k^	1-6-11	คริก

khl-i-k^	1-6-24	ขลิก,คลิก

kh-i-k^	1-6-10	ขิก,คิข,คิก,คิกห์,คิร์ก,คิค

c-i-k^	1-6-1	จิก,จิร์ค,จิร์ก

ch-i-k^	1-6-2	ฉิก,ชิค,ชิก,ชิกส์

d-i-k^	1-6-13	ดิก,ดิค,ฎิก,ฎิกร,ฎิกรณ์,ฎิค,ฎิฆ,ดิกส์,ดิกค์

dr-i-k^	1-6-34	ดฤก,ดฤกษ์

th-i-k^	1-6-16	ทิค,ธิค,ธิกรณ์,ฐิก,ฑิฆ,ฑิก,ถิก,ธิคร,ทิก,ทิกร,ทิฆ,ทิคส์

n-i-k^	1-6-15	นิคส์,นิกร,ณิก,นิกต์,ณิค,นิกส์,นิกรณ์,นิกซ์,นิกค์,นิกข์

br-i-k^	1-6-26	บริกซ์,บริกส์,บริกร,บริคซ์,บริข,บริคณห์

bl-i-k^	1-6-35	บลิกซ์,บลิกส์

b-i-k^	1-6-30	บิก,บิคส์,บิกส์,บิกร,บิร์ก,บิร์ค

pr-i-k^	1-6-17	ปริก

p-i-k^	1-6-12	ปิก,ปิคอร์,ปิกส์

t-i-k^	1-6-3	ติกส์,ฏิฆ,ติกร,ติกซ์,ติร์ก,ติค,ติคส์,ติข,ฏิก,ฏิกร,ฏิกรณ์,ฏิค,ติคซ์

r-i-k^	1-6-9	ริก,ริคณห์,ริกส์,ริกซ์,ริคส์,ริกร,ริข,ริคซ์,ริกต์,ริร์ก

w-i-k^	1-6-20	วิค,วิกรณ์,วิคส์,วิกย์,วิกรม์,วิร์ก,วิร์ค,วิกซ์

s-i-k^	1-6-19	สิกร,ซิก,สฤก,ซิกธ์,ซิกท์,ซิกข์,ซิกส์,ซิกซ์,ทริก,ทริกส์,ทริกซ์,ทริค,ทริคส์,ศิก,สิค,ศิข,ศิค,ศิกดิ์,สิกส์,สิกข์,สิคส์,สิข

ng-i-k^	1-6-25	งิก,หงิก

j-i-k^	1-6-7	ญิก,ยิก,หยิก

l-i-k^	1-6-4	ลิก,ลิค,ฬิก,ลิข,ลิกซ์,ลิกส์,ลิกร,ลิกค์,ลิคส์,ลิร์ก,หลิก

tr-i-k^	1-6-14	ทฤก,ตฤกษ์,ตริก,ทฤกษ์

h-i-k^	1-6-28	หิกรณ์,ฮิกส์,ฮิค,ฮิคส์,ฮิกก์ส

z-i-k^	1-6-27	อิก,อิค,อิกอร์

m-i-k^	1-6-21	มิกส์,มิคส์,มิกซ์,มิกร,มิร์ก,มิร์ค

ph-i-k^	1-6-6	พิฆ,พิคส์,พิก,พิร์ก,พิร์ค,ภิก,พิกงซ์

fr-i-k^	1-6-36	ฟริก,ฟริกซ์

fl-i-k^	1-6-32	ฟลิค,ฟลิกซ์

f-i-k^	1-6-18	ฟิค,ฟิกก์,ฟิกซ์,ฟิคส์

phl-i-k^	1-6-5	ผลิก,พลิก

phr-i-k^	1-6-29	พริก

kr-i-m^	1-7-8	กริม

k-i-m^	1-7-0	กิม

khl-i-m^	1-7-24	คลิม

kh-i-m^	1-7-10	ขิม,คิม

c-i-m^	1-7-1	จริม,จิม,จิมส์

ch-i-m^	1-7-2	ฉิม,ฌิม,ชิม

d-i-m^	1-7-13	ดิม,ดิร์ม,ฎิม

th-i-m^	1-7-16	ธิม,ธิร์ม,ทิม

n-i-m^	1-7-15	นิม,นิมนต์

t-i-m^	1-7-3	ติม,ฏิม

ph-i-m^	1-7-6	พิมพ์,ภิม

s-i-m^	1-7-19	ซิมส์,ซิมป์,สิม,สริม,ศิม

r-i-m^	1-7-9	ริมป์,หริม

ng-i-m^	1-7-25	งิม,หงิม

j-i-m^	1-7-7	ยิมส์,หยิม

z-i-m^	1-7-27	อิม,อิห,อิหม

h-i-m^	1-7-28	หิม,ฮิม

w-i-m^	1-7-20	วิม,หวิม,วิร์ม,วิมว์

l-i-m^	1-7-4	ลิม,หลิม,ลิมป์,ลิมพ์,ลิมบ์,ลิมฟ์,ลิ๊มพ์

m-i-m^	1-7-21	มิม

f-i-m^	1-7-18	ฟิล์ม,ฟิร์ม,ฟิม

phr-i-m^	1-7-29	พริม

p-i-m^	1-7-12	ปิร์ม,ปิม

pr-i-m^	1-7-17	ปริม

b-i-m^	1-7-30	บิม

k-i-t^	1-8-0	กิติ,กิตต์,กิตติ์,กิด,กิจ,กิท,กิตท์,กิตย์,กิร์ต,กิร์ด,กิส,กิซ,กิช

kw-i-t^	1-8-22	กวิทย์,กวิช,กวิต

kl-i-t^	1-8-31	กลิส,กลิสต์

kr-i-t^	1-8-8	กริต,กริช,กฤส,กฤต,กฤติ,กฤตย์,กฤษ,กฤษฎ์,กฤษฎิ์,กฤษณ์,กฤษฏิ์,กฤษฏ์,กฤษฐิ์,กฤด,กฤท,กฤทธ,กฤทธิ์,กฤช

khr-i-t^	1-8-11	คริสต์,คริตส์,คริตช์

khw-i-t^	1-8-23	ขวิด,ขวิทย์,ควิช,ควิท,ควิทย์,ควิส,ควิสต์,ควิซ,ควิต

khl-i-t^	1-8-24	คลิสต์,คลิทช์,คลิต,คลิตช์,คลิทซ์

kh-i-t^	1-8-10	คิจ,คิด,คิซ,ขิต,ขิด,คิดส์,คิดด์,คิร์ด,คิร์ช,คิร์ต,คิร์ท,คิช,คิส,คิต,คิตต์,คิตซ์,คิตณ์,คิท

c-i-t^	1-8-1	จิตร์,จิซ,จิจ,จริต,จิตติ์,จิตต์,จิติ,จิรท,จิด,จิส,จิสท์,จิสต์,จิตฺ

ch-i-t^	1-8-2	ชิด,ชิทส์,ฉิด,ชิต,ชิตร,ชิตร์,ชิตย์,ชิร์ช,ชิส,ชิช,ชิชย์

tr-i-t^	1-8-14	ตริตร,ตริดจ์,ทฤษ,ตฤษ

th-i-t^	1-8-16	ทิตย์,ธิจ,ฑิต,ฑิตย์,ฐิต,ฐิติ,ฐิตร,ฐิจ,ฑิศ,ฒิช,ฒิส,ถิต,ถิตย์,ถิติ,ถิร์ส,ถิรท,ถิด,ธิช,ธิส,ธิศ,ทิศ,ทิร์ต,ทิส,ทิสต์,ทิด,ทิช,ทิฐ,ทิจ,ทิจจ์,ทิฏ,ทิษ,ทิซ,ทิฎ,ธิชย์,ธิต,ธิติ,ธิตย์,ธิสท์,ธิด,ธิษ,ธิร์ด,ธิฐ,ธิท,ทิศย์

n-i-t^	1-8-15	นิศฐ์,นิฏ,นิต,นิช,นิสท์,นิสต์,นิษฐ์,ณิษ,ณิศร์,ณิต,นิซ,ณิส,นิตย์,ณิช,นิด,นิดร์,นิตร,นิตร์,นิตว์,นิฎ,นิท,นิทร,นิทร์,นิธ,ณิชย์,ณิชน์,ณิชญ,ณิธ,ณิศวร์,ณิด,ณิฐ,ณิฏ,ณิฎ,นิษฎ์,นิตฐ์,นิธย์,นิสร์,นิศร์,นิฐ,นิดส์,นิจ,นิติ,นิตช์,นิตส์,นิตต์,นิชย์,นิชญ,นิร์ส,นิรท,นิสภ์,นิสงส์,นิสม์,นิทส์,นิทธ,นิทธ์,นิทธิ์,นิจย์

br-i-t^	1-8-26	บริษ,บริจด์,บริด,บริดจ์,บริส

bl-i-t^	1-8-35	บลิส,บลิสค์

b-i-t^	1-8-30	บิด,บิสม์,บิต,บิดต์,บิดจ์,บิร์ด,บิร์ต,บิร์ธ,บิร์ท,บิร์ช,บิร์ส,บิตต์

p-i-t^	1-8-12	ปิฐ,ปิต,ปิฏ,ปิด,ปิท,ปิติ,ปิตุ,ปิตย์,ปิฎ,ปิร์ต,ปิศ,ปิส,ปิซ

pl-i-t^	1-8-33	ปลิด

t-i-t^	1-8-3	ติธ,ติศ,ติด,ฏิส,ติช,ติร์ช,ติร์ซ,ติฐ,ติส,ติสต์,ติจ,ติท,ติทช์,ติต,ติตช์,ฏิท,ฏิช

pr-i-t^	1-8-17	ปริทซ์,ปริทร,ปริดส์,ปริซ,ปริจ,ปริตร,ปริศ,ปริส,ปฤษ

f-i-t^	1-8-18	ฟิช,ฟิต,ฟิจ,ฟิด,ฟิร์ส,ฟิร์ท,ฟิร์ต,ฟิร์ด,ฟิร์ธ,ฟิล์ด,ฟิตซ์,ฟิตร,ฟิตร์,ฟิตช์,ฟิศ,ฟิท,ฟิทช์,ฟิทซ์,ฟิทต์,ฟิซ,ฟิส,ฟิสท์,ฟิสต์,ฟิสว์,ฟิชท์,ฟิธ

ph-i-t^	1-8-6	พิส,พิท,พิษ,ภิศ,พิช,พิชย์,พิด,ภิรท,ผิด,พิต,พิตร,พิธ,พิจ,พิทย์,พิทท์,พิททส์,พิทส์,พิทซ์,พิทธ,พิทธ์,พิศ,พิสนฑ์,พิสย์,พิร์ท,พิร์ธ,พิร์ส,พิร์ซ,พิร์ช,พิร์ด,พิร์ต,พิซ,พิชญ,พิชญ์,พิตต์,พิตส์,พิฏ,พิฏฐ์,พิถ,พิฎ,พิฎฐ์,พิฑ,ภิส,ภิช,ภิต,ภิตร,ภิธ,ภิษ,ภิษฐ์,ภิด,ภิจ,ภิฏ,ภิท,ภิทร,ภิฎ

m-i-t^	1-8-21	มิตร,มิตซ์,มิดส์,มิดท์,มิถ,มิช,มิตต์,มิตร์,มิติ,มิตย์,มิตช์,มิร์ซ,มิร์ท,มิศ,มิศร์,มิส,มิสต์,มิจ,มิท,มิทธ,มิทธ์,มิธ,มิษ,มิจย์

r-i-t^	1-8-9	ริตส์,ริตช์,ริสต์,ริช,ริทช์,ริด,ริดจ์,ริตร,ริษ,ริศ,ริศร์,ริจ,ริจด์,ริซ,ริดส์,ริทร,ริทซ์,ริษณ์,ริษฐ์,ริตต์,ริตซ์,ริตย์,ริสท์,ริสก์,ริฐ,ริชย์,ริศว์,ริจช์,ริธ,ริทร์,ฤทธิ์,ฤทฺธิ,ฤทธิ์,ริทธิ์,ฤษณ์

ng-i-t^	1-8-25	งิด,หงิด

l-i-t^	1-8-4	ลิช,ลิทช์,ลิทซ์,ลิตช์,ลิสต์,ฬิศร์,ลิตร,ลิตร์,ลิด,ลิสค์,ลิตต์,ลิสส์,ลิสม์,ลิสท์,ลิศ,ลิชช์,ลิซ,ลิษ,ลิทท์,ลิจย์

d-i-t^	1-8-13	ดิซ,ดิฐ,ดิธ,ดิทอร์,ดิช,ดิถ,ดิด,ดิจ,ดิสม์,ดิสต์,ดิตถ์,ดิษย์,ดิษฐ์,ดิศร์,ฎิส,ฎิช,ฎิท,ดิสก์,ดิสค์,ดิดด์,ดิตส์,ดิตย์,ดิศย์

